Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" Welcome to 10839 Mountair Avenue! This charming traditional 1,964 sq ft home enjoys stunning mountain views. Located in a cul-de-sac, its main level features a spacious living room, kitchen and dining area, 3 bedrooms and 2 bathrooms. The lower level has a lovely bonus room which overlooks a large patio; this room can also be divided to create a 4th bedroom if needed. If you're looking for view home, a slice of heaven, to spend crisp summer nights with your loved ones, this home could be yours!! ","$759,000 ","1,964 sqft",-118.29494,34.266388,3,2,1961," 10839 Mountair Ave Tujunga, CA 91042 ",Tujunga,CA,91042
" A hidden gem in this quiet neighborhood. This home has been completely remodeled with all new cabinets, granite counter tops, luxury vinyl planking floor. All new hardware, fixtures and paint. Large fenced in backyard. This won?t last long, come see it for yourself! Call today (316)882-1175. Ask for Jason! ","$158,000 ","2,784 sqft",-97.27334,37.7041,3,2,1954," 1136 N Parkwood Ln Wichita, KS 67208 ",Wichita,KS,67208
" Investor and homebuyer opportunity! This property is being offered at a live auction on 01-14-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 124 scheduled for sale at this same auction. Altogether, Auction.com has 61 properties scheduled for sale in Lucas County and 1113 throughout Ohio. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2878028 into the search bar at Auction.com. ","$94,924 ","1,282 sqft",-83.48369,41.70876,3,1,1952," 2601 109th St Toledo, OH 43611 ",Toledo,OH,43611
 Large lot with a 2 car garage and covered carport/patio. Roof was done in spring 2019- less than a year old! New paint and flooring in living room and kitchen. Bedrooms still have original hardwood floors. All appliances included! ,"$135,000 ",680 sqft,-95.96779,41.19161,2,2,1933," 6802 S 36th St Omaha, NE 68107 ",Omaha,NE,68107
" What a beautiful piece of St. Paul's history on this stunning Marshall avenue home. Welcoming front porch expands the length of the front of home. The Victorian charm is complimented by ornate original woodwork, open spindle staircase, curved window seat and beveled stained glass windows. Large dining room with built-in buffet. Beautiful updated kitchen with tile backsplash, with new double oven and new dishwasher.The second level features four bedrooms. The third level has an extra kitchen, bedroom and living area.  Large private fenced back yard and two stall garage. Recent updates:  all new leafless gutters, new plumbing, 12 new windows, Check out the 2nd story above the original carriage house garage that could be finished off for a shop or office space! ","$500,000 ","2,875 sqft",-93.18172,44.948025,5,3,1900," 1926 Marshall Ave Saint Paul, MN 55104 ",Saint Paul,MN,55104
" Introducing this stunning, spacious, sunny studio! This unit has been totally renovated, with hardwood floors, granite kitchen counter tops, stainless steel appliances in the kitchen, Hunter Douglas window shades and and a marble window sill. This beautiful studio is over 517 sq. ft., has an in unit washer/dryer and comes with a free storage bin on the 30th floor. The Kennedy House is a luxury building in the heart of Center City. The building has a concierge, 24 hr. security, rooftop pool with an amazing view, community room, bike room, laundry facilities, library, fitness center, onsite garage, onsite management and hospitality suites. The monthly fee includes your real estate taxes, electric, air conditioning, heat, water, basic cable and use of the rooftop pool. The Kennedy Food Garden and Chima Brazilian Steak House are in the building! Both Suburban Station and Amtrak 30th Station are a few blocks away. The 33 and 17 buses stop at the corner of 19th and JFK Blvd. You have upscale restaurants, shopping, and museums right outside your door! There is a one time administrative fee of $20.00 per sq. ft. There are nominal fees for the fitness center, hospitality suites, and parking. This is a cooperative building and all buyers must be approved by the Co-op Board. 25% down payment is required by the Co-op Board. Sorry but no dogs are allowed. Luckily you can have 2 cats and/or a bird. ","$179,900 ",518 sqft,-75.17209,39.954773,,1,1968," 1901 John F Kennedy Blvd #516 Philadelphia, PA 19103 ",Philadelphia,PA,19103
" OPEN HOUSE ON SAT FROM 12-3! Beautiful home in quiet subdivision in award-winning Keller ISD. This home features 3 bdrms, 2 baths, formal living and dining, and game rm. Updates include newer hand-scraped maple floors, newer carpet, a fresh coat of paint, plantation shutters, new fence, and a brand new roof! Open concept floor plan featuring living room with corner gas fireplace. Gourmet kitchen with island, stainless steel convection oven-microwave, Bosch dishwasher, pantry and breakfast nook. Master suite offers large shower, walk-in closet and large vanity. Third living area between bedrooms and second bathroom. Large fenced backyard with covered patio. Close to schools, shopping, entertainment and dining. ","$250,000 ","2,250 sqft",-97.27476,32.921925,3,2,2007," 5116 Gadsden Ave Fort Worth, TX 76244 ",Fort Worth,TX,76244
" The Long Estate stands as a proud pillar on one of Austin's most iconic and prominent streets in Old Enfield shrouded by towering oak trees on a double lot. Majestic and timeless, it has been a long-time host to world famous musicians, artists, politicians, and one of the finest private art collections in the world. Designed and built in 1940 by architect Louis C. Page with no expense spared and only sold once in its history. Trained eyes will recognize the detailed craftsmanship and imported materials throughout that offer timeless elegance and grandeur including Baccarat chandeliers and sconces, hand milled cabinetry and stair rail, commissioned metal work, and original crown molding with museum quality picture rails throughout. ","$8,500,000 ","11,653 sqft",-97.758354,30.290415,8,11,1940," 2308 Woodlawn Blvd Austin, TX 78703 ",Austin,TX,78703
" inviting 3-bedroom brick bungalow in grosse pointe woods. living room has wood burning fireplace with carved wood mantle and recessed lighting. open floor plan between living room, dining room (with bay) and kitchen. dark hardwood floors and wide plank engineered hardwood throughout. kitchen has ss appliances including a gas stove, built-in microwave and lighted ceiling fan. two main floor bedrooms and updated full main bathroom. carpeted master bedroom on second level. finished carpeted basement includes a large updated 1/2 bathroom. washer & dryer in lower level; new hwh, newer furnace. backyard has deck and 2-car detached garage. this home is 'move-in' ready. ","$159,900 ",850 sqft,-82.91192,42.447464,3,2,1942," 2209 Hollywood Ave Grosse Pointe, MI 48236 ",Grosse Pointe,MI,48236
" Unique opportunity to own a beautiful income property in the heart of the historical district of Cal Heights! Landscaping thorough out the property features water wise plants and artificial turf for minimal water and gardening maintenance. The front house is a charming traditional style 2 berdoom with 2 full baths. The house was re modeled with attention to detail, leaving the kitchen with its original vintage tile work. Hardwood flooring throughout. Tons of cabinets, separate laundry room and in kitchen eating area with french doors. Follow the stone walkway to the rear units, both completely remodeled and upgraded in 2019. The 1 bedroom 1 bath downstairs unit has quartz counter tops, Wynstan security screens, custom window coverings, convenient in unit laundry, its own private side yard, private storage unit, and 1 parking space. The upstairs 2-bedroom 1 bath unit, is also completely remodeled with all new appliances, tile and flooring. Unit also has its own 1 car garage with inside laundry. Recent upgrades include tank-less water heaters for all units, ceiling fans, dual pane windows, separate and upgraded electrical and separate central AC's and heat for each unit, copper plumbing, crown molding and newer roofing. All units currently occupied with great rents. Don't miss out on this great investment! ","$1,250,000 ","2,710 sqft",-118.17599,33.821056,5,4,1948," 3540 Orange Ave Long Beach, CA 90807 ",Long Beach,CA,90807
" Discover approximately 1,433 square feet of living space in the 1433 Plan. This two-story townhome features 3 bedrooms and 2 bathrooms. The main level of the home features a large, open kitchen and great room. The upstairs master bedroom features a spacious walk-in closet. Additional features include a loft, laundry room and a two-car garage. Additional features include a laundry room and a two-car garage. Featuring America's Smart Home?, D.R. Horton keeps you close to the people and places you value most. Simplify your life with a dream home that features hands-free communication, remote keyless entry, SkyBell video doorbell, and so much more! It's a home that adapts to your lifestyle. And with D.R. Horton's simple buying process and ten-year limited warranty, there's no reason to wait. ","$255,990 ","1,433 sqft",-115.1997,36.2935,3,2,," 4342 Luster Ave North Las Vegas, NV 89084 ",North Las Vegas,NV,89084
" Adorable yellow Craftsman home in Lakewood Heights, thoughtfully restored with modern updates! Inviting wrap-around porch greets you with architectural roof lines. Spacious living room has original built-ins with wood-burning fireplace. Glass french doors lead to the large dining. Stunning kitchen boasts SS appliances, honed marble c-tops, cement tile, farm sink, custom open shelves, exposed brick chimney. Recently added wood floors and recessed lighting. Recent water heater and heater. Hand-built brick patio in backyard features historic bricks from homes in East Dallas. Oversized garage was converted for storage but can easily be converted back, tool shed next to garage. ","$489,900 ","1,376 sqft",-96.75707,32.81789,2,2,1936," 6238 Goliad Ave Dallas, TX 75214 ",Dallas,TX,75214
" Location, location, location on this blank lot in NE Portland near Alberta St. Build your dream near so many great restaurants and shops! This lot boasts a walk score of 95 and a bike score of 98! This lot is zoned R2.5. ","$550,000 ",,-122.64999,45.5613,,,," 5265 NE 15th Ave Portland, OR 97211 ",Portland,OR,97211
